ZoneDist1,BldgClass,YearBuilt,BBL,APPBBL
R7A,B1,2003,1003770070,0
R7A,V1,0,1003770071,0
R7A,B9,1901,1003770072,0
R8B,R1,1900,1003777501,1003770015
R8B,RM,2006,1003777502,1003770058
R8A,RM,2010,1003777503,1003770042
R8B,R1,2013,1003777504,1003770049
R8B,Y2,2000,1003780001,1003780001
R7A,C7,1900,1003780004,1003780004
R7A,C7,1920,1003780009,0
R8B,D6,1900,1003780010,0
R8B,C1,1994,1003780017,1003780017
R8B,E1,1989,1003780028,0
R8B,E1,1989,1003780029,0
R8B,E1,1910,1003780030,0
R8A,C7,1910,1003780031,0
R8A,D7,2016,1003780032,0
R8A,C4,1910,1003780033,0
R8A,K1,1910,1003780034,0
R8A,D6,1900,1003780035,0
R8A,C7,1900,1003780039,0
R8A,D3,0,1003780040,1003780040
R8B,M1,1937,1003780043,0
R8A,R4,0,1003787501,1003780040
R7A,V1,0,1003790001,0
R7A,V1,0,1003790002,0
R7A,V1,0,1003790003,0
R7A,V1,0,1003790004,0
R7A,V1,0,1003790005,0
R7A,V1,0,1003790006,0
R7A,V1,0,1003790007,0
R7A,S5,1920,1003790008,1003790008
R7A,A4,1899,1003790009,1003790008
R7A,C1,1900,1003790010,0
R8B,C6,1900,1003790011,0
R8B,C6,1930,1003790012,0
R8B,L9,1920,1003790014,0
R8B,C6,1930,1003790015,0
R8B,C6,1900,1003790017,0
R8B,C4,1900,1003790019,0
R8B,D1,2003,1003790020,0
R8B,D6,1950,1003790021,0
R8B,S9,1920,1003790023,1003790023
R8B,C1,1920,1003790025,1003790023
R8B,E7,1928,1003790027,0
R8A,C7,1920,1003790032,0
R8A,D5,1920,1003790034,1003790034
R8A,C7,1930,1003790037,0
R8B,N9,1995,1003790039,1003790039
R8B,E1,1920,1003790044,0
R8B,D0,1920,1003790045,1003790023
R8B,C6,1900,1003790048,0
R8B,D3,2001,1003790051,1003790051
R8B,D1,2009,1003790053,1003790053
R8B,C4,1900,1003790057,0
R8B,V1,0,1003790059,0
R8B,V1,0,1003790061,0
R7A,V1,0,1003790063,0
PARK,Q1,1970,1003800050,0
R7-2,W1,1954,1003810038,0
R7-2,D9,1966,1003820001,0
R7-2,M1,1953,1003820022,0
R7-2,D4,1950,1003820100,0
M3-2,U2,0,1003830001,0
R8A,C4,1900,1003840006,0
R8A,C7,1900,1003840007,0
R8A,S5,1920,1003840008,0
R8A,C7,1900,1003840012,1003840012
R8A,C4,1900,1003840015,0
R8A,L9,1900,1003840016,0
R8A,C4,1900,1003840017,0
R8A,C4,1900,1003840018,0
R8A,V1,0,1003840021,0
R8A,C4,1900,1003840023,0
R8A,C1,1900,1003840024,0
R8A,C4,1900,1003840025,0
R8A,C4,1900,1003840026,0
R8A,C4,1900,1003840027,0
R8A,V1,0,1003840028,0
R8A,C1,1961,1003840029,0
R8A,V1,0,1003840033,0
R8A,V1,0,1003840040,1003840004
R8A,R1,2003,1003847501,1003840022
R8A,RM,1905,1003847502,1003840010
R8A,RM,2005,1003847503,1003840004
R8A,RM,1900,1003847504,1003840009
R8A,RM,2008,1003847505,1003840019
R7A,C7,1997,1003850001,0
R7A,C7,1900,1003850002,0
R7A,K1,1950,1003850004,0
R7A,D5,1900,1003850005,0
R8B,V1,0,1003850011,0
R8B,D1,2002,1003850014,0
R8B,C7,1900,1003850018,0
R8B,D7,2003,1003850019,0
R8B,D1,2004,1003850020,0
R8B,D1,2001,1003850022,0
R8B,C4,1900,1003850023,0
R8B,J9,1920,1003850024,0
R8B,C4,1910,1003850026,0
R8B,Z3,1954,1003850027,0
R8B,D1,1910,1003850029,0
R8B,M1,1920,1003850030,0
R7A,C4,1900,1003850034,0
R7A,C1,2000,1003850035,0
R7A,C7,1910,1003850036,0
R7A,C1,2000,1003850037,0
R7A,C4,1900,1003850038,0
R7A,C1,1998,1003850040,1003850040
R7A,S3,1900,1003850042,0
R8B,C4,1900,1003850046,0
R8B,D7,2005,1003850047,1003850049
R8B,D7,2005,1003850048,1003850049
R8B,D7,2005,1003850049,1003850049
R8B,C4,1910,1003850050,0
R8B,V1,0,1003850051,0
R8B,V1,0,1003850052,0
R8B,C4,1900,1003850053,0
R8B,C4,1910,1003850054,0
R8B,C4,1910,1003850055,0
R8B,D4,1900,1003850056,1003850057
R8B,Y1,1958,1003850058,0
R8B,G7,0,1003850060,0
R8B,P6,1908,1003850063,0
R7A,RM,2005,1003857501,1003850044
R7A,S5,1920,1003860001,0
R7A,D7,1999,1003860003,0
R7A,S9,1880,1003860005,1003860005
R7A,S2,1880,1003860007,1003860005
R7A,S2,1880,1003860008,1003860005
R7A,C7,1900,1003860010,0
R8B,C4,1900,1003860011,1003860011
R8B,M1,1900,1003860014,0
R8B,D3,1992,1003860015,1003860015
R8B,C6,1923,1003860020,0
R8B,V1,0,1003860021,0
R8B,V1,0,1003860022,0
R8B,D9,1973,1003860033,0
R7A,D0,1940,1003860036,0
R7A,D7,2003,1003860038,0
R8B,V1,0,1003860052,0
R8B,C1,1910,1003860053,0
R8B,D7,2005,1003860055,0
R8B,D3,2005,1003860056,0
R8B,D4,1900,1003860058,0
R8B,V1,0,1003860060,0
R8B,A9,1920,1003860061,0
R8B,S4,1900,1003860062,0
R8B,D7,1900,1003860063,0
R8B,R2,1920,1003867501,1003860064
R8B,W1,1953,1003870001,0
R8B,C6,1900,1003870015,0
R8B,C2,1989,1003870017,0
R8B,C9,1988,1003870020,0
R7A,K4,2000,1003870033,0
R7A,M9,1989,1003870035,1003870036
R7A,C6,1900,1003870037,0
R7A,V1,0,1003870040,0
R7A,C4,1900,1003870041,0
R8B,M1,1942,1003870042,0
R8B,C1,2001,1003870043,0
R8B,D4,1920,1003870044,0
R8B,V1,0,1003870046,0
R8B,C4,1900,1003870047,0
R8B,C1,1920,1003870048,0
R8B,N2,1906,1003870049,1003870049
R8B,C7,1920,1003870119,0
R8B,V1,0,1003870121,0
R8B,V1,0,1003870122,0
R8B,D1,1900,1003870124,0
R8B,M1,1920,1003870127,0
R8B,P5,1900,1003870128,0
R8B,G1,1993,1003870129,0
R8B,G7,0,1003870131,0
R7A,S3,1920,1003870133,0
R7A,K9,1900,1003870135,0
R7A,C7,1900,1003870140,0
R7A,C6,1920,1003870141,0
R7A,C6,1900,1003870143,0
R8B,C9,1989,1003870144,1003870148
R8B,D9,1920,1003870153,0
R8B,V1,0,1003870155,0
R8B,C1,1900,1003870157,0
R7A,RM,1951,1003877501,1003870034
R7A,D6,1900,1003890001,0
R7A,C6,1900,1003890002,0
R7A,S5,1900,1003890006,0
R7A,C7,1900,1003890007,0
R7A,C6,1900,1003890009,0
R8B,D1,1998,1003890011,1003890011
R8B,V1,0,1003890016,0
R8B,C6,1930,1003890017,0
R8B,C1,1910,1003890018,0
R8B,C7,1910,1003890019,0
R8B,C6,1900,1003890020,0
R8B,C6,1900,1003890021,0
R8B,C7,1900,1003890022,0
R8B,D3,2008,1003890024,0
R8B,C6,1925,1003890026,0
R8B,C2,1900,1003890027,0
R8B,N9,1900,1003890028,0
R8B,A5,1901,1003890029,0
R7A,C6,1950,1003890030,0
R7A,C7,1900,1003890031,0
R7A,C7,1907,1003890032,0
R7A,C7,1935,1003890036,0
R7A,C7,1900,1003890038,0
R7A,Q2,0,1003890040,0
R8B,Q2,0,1003890041,0
R8B,C4,1920,1003890042,0
R8B,C4,1910,1003890043,0
R8B,C4,1910,1003890044,0
R8B,C4,1900,1003890045,0
R8B,S4,1900,1003890046,0
R8B,C4,1910,1003890047,0
R8B,C6,1910,1003890048,0
R8B,C6,1910,1003890049,0
R8B,C6,1920,1003890050,0
R8B,E9,1900,1003890051,0
R8B,G1,1964,1003890052,0
R8B,C1,1939,1003890053,0
R8B,C6,1920,1003890054,0
R8B,V1,0,1003890055,0
R7A,RM,1900,1003897501,1003890003
R7A,W2,1955,1003900001,0
R8B,M1,1900,1003900005,0
R8B,C6,1900,1003900009,1003900009
R8B,I7,1996,1003900011,1003900011
R8B,C4,1910,1003900020,0
R8B,S2,1956,1003900023,0
R8B,D1,1900,1003900024,1003900024
R7A,K4,1899,1003900034,0
R7A,B1,1899,1003900035,0
R7A,S2,1901,1003900036,0
R7A,C6,1900,1003900037,0
R8B,C6,1910,1003900042,0
R8B,V1,0,1003900046,0
R8B,C1,1900,1003900050,0
R8B,M1,2001,1003900052,1003900052
R8B,C3,2001,1003900054,0
R8B,C6,1935,1003900055,0
R8B,C7,1910,1003900057,0
R8B,M1,1920,1003900058,0
R8B,C3,1910,1003900059,0
R8B,C2,1910,1003900060,0
R8B,A4,1860,1003900061,0
R8B,C4,1910,1003900064,0
R7A,M3,1965,1003900105,0
R8B,RM,2000,1003907501,1003900044
R7A,RM,2001,1003907502,1003900027
R7A,R1,2013,1003907503,1003900039
R7A,C6,1910,1003910001,0
R7A,C6,1940,1003910003,0
R7A,B1,1910,1003910006,0
R7A,M3,1920,1003910007,1003910007
R8B,C4,1910,1003910009,0
R8B,N2,1920,1003910010,0
R8B,C4,1910,1003910011,0
R8B,C1,1910,1003910012,0
R8B,C3,1900,1003910013,0
R8B,C6,1910,1003910014,0
R8B,S3,1910,1003910019,0
R8B,C6,1910,1003910020,0
R8B,C6,1910,1003910021,0
R8B,C4,1910,1003910022,0
R8B,V1,0,1003910023,0
R8B,V1,0,1003910024,0
R8B,V9,0,1003910030,0
R7A,S4,1900,1003910033,0
R7A,C7,1900,1003910035,0
R7A,C7,1900,1003910036,0
R7A,C7,1900,1003910037,0
R7A,C7,1900,1003910038,0
R8B,S3,1900,1003910041,0
R8B,V1,0,1003910042,0
R8B,V1,0,1003910043,0
R8B,C4,1900,1003910045,0
R8B,D1,2000,1003910047,0
R8B,C6,1910,1003910048,0
R8B,D1,2000,1003910050,0
R8B,B9,1915,1003910051,0
R8B,C3,1900,1003910052,0
R8B,V1,0,1003910053,0
R8B,V1,0,1003910054,0
R8B,C4,1900,1003910055,0
R8B,C6,1900,1003910056,0
R8B,C6,1900,1003910057,0
R8B,C1,1900,1003910059,0
R8B,R1,2005,1003917501,1003910044
R7A,M1,1900,1003920004,0
R7A,C2,1900,1003920005,0
R7A,C2,1900,1003920006,0
R7A,C7,1900,1003920007,0
R7A,C6,1900,1003920009,0
R8B,W1,1910,1003920010,0
R8B,C4,1900,1003920016,0
R8B,D5,1900,1003920017,0
R8B,C4,1900,1003920022,0
R8B,C7,1930,1003920025,0
